File Path,Module Title,Current Location,Type,Concepts Covered,Purpose (1 sentence),Reading Time,Stage,Prerequisites Listed?,Demo Linked?,Redundancy Flag,Canonical Module (if duplicate),Decision,Action Notes,Priority,Owner,Status
/curriculum/first-principles/index.html,Problems with Traditional Money,curriculum,canonical,"money functions, inflation, trust",Explains why traditional money fails,15 min,0,No,No,None,N/A,Keep & enhance,Add prerequisites and demo links,High,,Not Started
/curriculum/philosophy-economics/index.html,Austrian Economics & Bitcoin,curriculum,canonical,"time preference, sound money, Austrian econ",Connects Bitcoin to economic philosophy,20 min,8,No,No,None,N/A,Keep & refactor,Move to Stage 8; add structure,Medium,,Not Started
/curriculum/sovereign-tools/index.html,Achieving Financial Sovereignty,curriculum,canonical,"self-custody, ops security, sovereignty",Practical sovereignty playbook,18 min,6,No,No,None,N/A,Keep & enhance,Tie to wallet-workshop demo,High,,Not Started
/modules/cbdc-vs-bitcoin.html,CBDCs vs Bitcoin,modules,canonical,"CBDCs, surveillance money, freedom money",Contrasts surveillance money vs. freedom money,12 min,8,No,No,None,N/A,Keep,Already well-structured,Low,,Not Started
/interactive-demos/utxo-visualizer.html,UTXO Visualizer (v1),interactive-demos,demo,UTXO model,Legacy UTXO visualizer,N/A,3,N/A,N/A,Superseded by enhanced version,/interactive-demos/utxo-visualizer-enhanced.html,Deprecate,Redirect to enhanced version; archive,Low,,Not Started
/interactive-demos/utxo-visualizer-v2.html,UTXO Visualizer (v2),interactive-demos,demo,UTXO model,Intermediate UTXO visualizer,N/A,3,N/A,N/A,Superseded by enhanced version,/interactive-demos/utxo-visualizer-enhanced.html,Deprecate,Redirect to enhanced version; archive,Low,,Not Started
/interactive-demos/utxo-visualizer-enhanced.html,UTXO Visualizer (Enhanced),interactive-demos,demo,UTXO model,Most advanced UTXO visualizer with full interactivity,N/A,3,N/A,N/A,None,N/A,Keep,Create companion module; link from Stage 3,High,,Not Started
/interactive-demos/transaction-builder/index.html,Transaction Builder,interactive-demos,demo,"transaction structure, inputs, outputs, fees",Hands-on transaction construction,N/A,3,N/A,N/A,None,N/A,Keep,Create companion module; link from Stage 3,High,,Not Started
/interactive-demos/mining-simulator/index.html,Mining Simulator,interactive-demos,demo,"PoW, mining, difficulty, nonce",Interactive mining demonstration,N/A,3,N/A,N/A,None,N/A,Keep,Create companion module; link from Stage 3,High,,Not Started
/interactive-demos/consensus-game/index.html,Consensus Game,interactive-demos,demo,"Byzantine Generals, consensus, 51% attack",Gamified consensus learning,N/A,2,N/A,N/A,None,N/A,Keep,Create companion module; link from Stage 2,High,,Not Started
/interactive-demos/wallet-workshop/index.html,Wallet Workshop,interactive-demos,demo,"wallets, seed phrases, backups, BIP39",Hands-on wallet security practice,N/A,6,N/A,N/A,None,N/A,Keep,Already has testnet guide; enhance companion module,Medium,,Not Started
/interactive-demos/lightning-lab.html,Lightning Lab,interactive-demos,demo,"Lightning basics, channels, HTLCs",Lightning Network exploration,N/A,5,N/A,N/A,None,N/A,Keep,Create companion module; link from Stage 5,High,,Not Started
/interactive-demos/lightning-routing-sim.html,Lightning Routing Simulator,interactive-demos,demo,"routing, pathfinding, liquidity",Simulates Lightning routing,N/A,5,N/A,N/A,Possible overlap with lightning-lab.html,/interactive-demos/lightning-lab.html,Review for merge,Determine if these should be one demo or kept separate,Medium,,Not Started
